state,num_alcohol_impaired_driving_deaths,num_drug_overdose_deaths,num_deaths,percent_insufficient_sleep,percent_adults_with_obesity,percent_excessive_drinking,percent_smokers,percent_vaccinated
Alabama,1284,2246,81791,2589.896286,2507.9,907.0810318,1339.278504,2580
Alaska,139,334,8087,930.3531697,1001.4,608.088642,603.3870327,454
Arizona,1177,4583,80394,484.2331675,449.3,238.601669,247.258666,570
Arkansas,690,1096,48017,2604.935846,2698.8,1030.677439,1529.163651,3060
California,5266,14824,347837,1851.895957,1590.8,1150.321389,701.3127864,2281
Colorado,996,2836,52174,1723.50959,1586.2,1164.464308,915.0398436,2617
Connecticut,447,3112,35163,255.2448697,213.6,144.4616138,94.98895934,431
Delaware,183,1021,12674,105.4689619,97,52.4529901,48.1513188,162
District of Columbia,39,833,8387,36.20131325,23.5,27.3130182,15.96559215,38
Florida,3467,14427,263456,2377.344766,2089.2,1175.838218,1285.804787,2615
Georgia,1548,4003,131421,5889.672838,5477.2,2369.130465,2903.75868,6539
Hawaii,166,607,14148,196.4098382,112.2,98.09069442,62.60353547,156
Idaho,342,624,17620,1288.411229,1331.3,687.5987462,622.533261,1582
Illinois,1636,7732,143269,3134.778572,3099.3,2033.27345,1615.269618,4283
Indiana,819,4893,90977,3135.327463,3128.6,1576.113618,1833.751121,4330
Iowa,455,712,34848,2712.373353,3380,2012.790333,1568.540869,4717
Kansas,445,784,32816,3097.497285,3614.4,1767.791942,1699.462887,3940
Kentucky,984,4063,74253,4643.179493,4230.2,1880.396125,2674.929757,4915
Louisiana,1252,3094,71605,2386.958382,2388.8,1193.185381,1394.747154,2481
Maine,278,1122,18065,510.2892983,493.3,311.1445438,257.9636455,681
Maryland,734,6615,70250,818.5837279,803.4,402.6392433,346.0934001,1184
Massachusetts,537,6630,67991,456.1378303,354.8,300.4778633,185.7813272,727
Michigan,1432,7542,131562,2902.229227,2774.6,1580.690817,1457.997039,3391
Minnesota,571,1862,50696,2530.335988,2748.6,1808.857711,1303.595109,3865
Mississippi,663,814,50862,2905.963405,3135.2,1096.635026,1668.107306,3132
Missouri,1433,4682,99556,3825.267528,3848.981804,2033.288144,2371.630117,4544.468163
Montana,439,267,12372,1525.757538,1638.5,1166.020153,944.6638737,1911
Nebraska,390,290,18443,2585.382063,3137.5,1855.653057,1360.084915,3403
Nevada,467,1992,38029,581.7438385,502.8,344.8243901,298.3605357,561
New Hampshire,181,1400,15688,313.4913445,288.4,193.7136809,148.4627272,465
New Jersey,637,7641,91120,796.0578369,576.4,388.8348289,295.4359839,1034
New Mexico,567,1502,27746,1038.672309,950.4,517.9293709,563.1984957,1188
New York,1229,15338,262854,2212.018177,1938.716529,1260.700772,966.690045,3107.019022
North Carolina,2051,6554,134245,3365.607543,3380.2,1575.026491,1747.506506,4895
North Dakota,259,144,6767,1484.847035,1765.2,1136.761332,906.3440139,2143
Ohio,1798,13389,167344,3259.407362,3019.9,1604.378657,1689.554028,4176
Oklahoma,873,2175,60262,2579.520466,2705.4,1030.033819,1466.29212,3448
Oregon,695,1545,46503,1086.22114,1135.2,660.8814261,554.8956988,1358
Pennsylvania,1583,14421,165456,2335.356927,2180.7,1320.220655,1201.952311,3207
Rhode Island,105,963,11529,167.135023,131.7,101.2977524,66.48484105,250
South Carolina,1605,2950,75507,1711.715114,1672.6,713.6765439,830.1004713,1946
South Dakota,237,94,9097,1728.187583,2187,1183.035554,1125.08077,2354
Tennessee,1264,5097,106691,3393.713249,3208.8,1320.731759,2122.684344,4410
Texas,4917,8327,295950,8070.690035,7936.9,4558.42076,3795.451786,9170
Utah,303,1859,24555,848.4517998,780.9,338.4104729,291.4378692,1201
Vermont,104,409,7277,420.4738522,389.7,276.5979178,204.6117547,640
Virginia,1169,4126,93751,4721.936532,4328.2,2275.192725,2259.828624,6345
Washington,852,3390,74436,1160.36494,1208.3,691.7532838,548.4080682,1525
West Virginia,385,2661,34459,2137.793724,2040.6,676.2617488,1258.544282,2118
Wisconsin,1043,3160,63570,2294.170133,2345.9,1788.046996,1158.24176,3465
Wyoming,219,177,6926,682.6065309,663.4,433.5712324,369.2847191,896
