state,variable,value,num_alcohol_impaired_driving_deaths
Alabama,Insufficient Sleep,2589.896286,1284
Alaska,Insufficient Sleep,930.3531697,139
Arizona,Insufficient Sleep,484.2331675,1177
Arkansas,Insufficient Sleep,2604.935846,690
California,Insufficient Sleep,1851.895957,5266
Colorado,Insufficient Sleep,1723.50959,996
Connecticut,Insufficient Sleep,255.2448697,447
Delaware,Insufficient Sleep,105.4689619,183
District of Columbia,Insufficient Sleep,36.20131325,39
Florida,Insufficient Sleep,2377.344766,3467
Georgia,Insufficient Sleep,5889.672838,1548
Hawaii,Insufficient Sleep,196.4098382,166
Idaho,Insufficient Sleep,1288.411229,342
Illinois,Insufficient Sleep,3134.778572,1636
Indiana,Insufficient Sleep,3135.327463,819
Iowa,Insufficient Sleep,2712.373353,455
Kansas,Insufficient Sleep,3097.497285,445
Kentucky,Insufficient Sleep,4643.179493,984
Louisiana,Insufficient Sleep,2386.958382,1252
Maine,Insufficient Sleep,510.2892983,278
Maryland,Insufficient Sleep,818.5837279,734
Massachusetts,Insufficient Sleep,456.1378303,537
Michigan,Insufficient Sleep,2902.229227,1432
Minnesota,Insufficient Sleep,2530.335988,571
Mississippi,Insufficient Sleep,2905.963405,663
Missouri,Insufficient Sleep,3825.267528,1433
Montana,Insufficient Sleep,1525.757538,439
Nebraska,Insufficient Sleep,2585.382063,390
Nevada,Insufficient Sleep,581.7438385,467
New Hampshire,Insufficient Sleep,313.4913445,181
New Jersey,Insufficient Sleep,796.0578369,637
New Mexico,Insufficient Sleep,1038.672309,567
New York,Insufficient Sleep,2212.018177,1229
North Carolina,Insufficient Sleep,3365.607543,2051
North Dakota,Insufficient Sleep,1484.847035,259
Ohio,Insufficient Sleep,3259.407362,1798
Oklahoma,Insufficient Sleep,2579.520466,873
Oregon,Insufficient Sleep,1086.22114,695
Pennsylvania,Insufficient Sleep,2335.356927,1583
Rhode Island,Insufficient Sleep,167.135023,105
South Carolina,Insufficient Sleep,1711.715114,1605
South Dakota,Insufficient Sleep,1728.187583,237
Tennessee,Insufficient Sleep,3393.713249,1264
Texas,Insufficient Sleep,8070.690035,4917
Utah,Insufficient Sleep,848.4517998,303
Vermont,Insufficient Sleep,420.4738522,104
Virginia,Insufficient Sleep,4721.936532,1169
Washington,Insufficient Sleep,1160.36494,852
West Virginia,Insufficient Sleep,2137.793724,385
Wisconsin,Insufficient Sleep,2294.170133,1043
Wyoming,Insufficient Sleep,682.6065309,219
Alabama,Obesity,2507.9,1284
Alaska,Obesity,1001.4,139
Arizona,Obesity,449.3,1177
Arkansas,Obesity,2698.8,690
California,Obesity,1590.8,5266
Colorado,Obesity,1586.2,996
Connecticut,Obesity,213.6,447
Delaware,Obesity,97,183
District of Columbia,Obesity,23.5,39
Florida,Obesity,2089.2,3467
Georgia,Obesity,5477.2,1548
Hawaii,Obesity,112.2,166
Idaho,Obesity,1331.3,342
Illinois,Obesity,3099.3,1636
Indiana,Obesity,3128.6,819
Iowa,Obesity,3380,455
Kansas,Obesity,3614.4,445
Kentucky,Obesity,4230.2,984
Louisiana,Obesity,2388.8,1252
Maine,Obesity,493.3,278
Maryland,Obesity,803.4,734
Massachusetts,Obesity,354.8,537
Michigan,Obesity,2774.6,1432
Minnesota,Obesity,2748.6,571
Mississippi,Obesity,3135.2,663
Missouri,Obesity,3848.981804,1433
Montana,Obesity,1638.5,439
Nebraska,Obesity,3137.5,390
Nevada,Obesity,502.8,467
New Hampshire,Obesity,288.4,181
New Jersey,Obesity,576.4,637
New Mexico,Obesity,950.4,567
New York,Obesity,1938.716529,1229
North Carolina,Obesity,3380.2,2051
North Dakota,Obesity,1765.2,259
Ohio,Obesity,3019.9,1798
Oklahoma,Obesity,2705.4,873
Oregon,Obesity,1135.2,695
Pennsylvania,Obesity,2180.7,1583
Rhode Island,Obesity,131.7,105
South Carolina,Obesity,1672.6,1605
South Dakota,Obesity,2187,237
Tennessee,Obesity,3208.8,1264
Texas,Obesity,7936.9,4917
Utah,Obesity,780.9,303
Vermont,Obesity,389.7,104
Virginia,Obesity,4328.2,1169
Washington,Obesity,1208.3,852
West Virginia,Obesity,2040.6,385
Wisconsin,Obesity,2345.9,1043
Wyoming,Obesity,663.4,219
Alabama,Excessive Drinking,907.0810318,1284
Alaska,Excessive Drinking,608.088642,139
Arizona,Excessive Drinking,238.601669,1177
Arkansas,Excessive Drinking,1030.677439,690
California,Excessive Drinking,1150.321389,5266
Colorado,Excessive Drinking,1164.464308,996
Connecticut,Excessive Drinking,144.4616138,447
Delaware,Excessive Drinking,52.4529901,183
District of Columbia,Excessive Drinking,27.3130182,39
Florida,Excessive Drinking,1175.838218,3467
Georgia,Excessive Drinking,2369.130465,1548
Hawaii,Excessive Drinking,98.09069442,166
Idaho,Excessive Drinking,687.5987462,342
Illinois,Excessive Drinking,2033.27345,1636
Indiana,Excessive Drinking,1576.113618,819
Iowa,Excessive Drinking,2012.790333,455
Kansas,Excessive Drinking,1767.791942,445
Kentucky,Excessive Drinking,1880.396125,984
Louisiana,Excessive Drinking,1193.185381,1252
Maine,Excessive Drinking,311.1445438,278
Maryland,Excessive Drinking,402.6392433,734
Massachusetts,Excessive Drinking,300.4778633,537
Michigan,Excessive Drinking,1580.690817,1432
Minnesota,Excessive Drinking,1808.857711,571
Mississippi,Excessive Drinking,1096.635026,663
Missouri,Excessive Drinking,2033.288144,1433
Montana,Excessive Drinking,1166.020153,439
Nebraska,Excessive Drinking,1855.653057,390
Nevada,Excessive Drinking,344.8243901,467
New Hampshire,Excessive Drinking,193.7136809,181
New Jersey,Excessive Drinking,388.8348289,637
New Mexico,Excessive Drinking,517.9293709,567
New York,Excessive Drinking,1260.700772,1229
North Carolina,Excessive Drinking,1575.026491,2051
North Dakota,Excessive Drinking,1136.761332,259
Ohio,Excessive Drinking,1604.378657,1798
Oklahoma,Excessive Drinking,1030.033819,873
Oregon,Excessive Drinking,660.8814261,695
Pennsylvania,Excessive Drinking,1320.220655,1583
Rhode Island,Excessive Drinking,101.2977524,105
